Fecha,Casos,Muertes,Altas,Activos,Terapia,Test Negativos,Test Totales,Importados,Contacto,Comunitaria,En estudio,Definitivas,Transitorias,% de positividad,% de positividad (3d)
3/3/2020,1,0,0,1,,,,1,0,0,0,,,,
4/3/2020,1,0,0,1,,,,1,0,0,0,,,,
5/3/2020,1,0,0,1,,,,1,0,0,0,,,,
6/3/2020,2,0,0,2,,,,3,0,0,0,,,,
7/3/2020,9,0,0,9,,,,9,0,0,0,,,,
8/3/2020,12,0,0,12,,,,12,0,0,0,,,,
9/3/2020,17,1,0,16,,,,17,0,0,0,,,,
10/3/2020,19,1,0,18,,,,19,0,0,0,,,,
11/3/2020,21,1,0,20,,,,21,0,0,0,,,,
12/3/2020,31,1,0,30,,,,28,3,0,0,,,,
13/3/2020,34,2,0,32,,,,30,4,0,0,,,,
14/3/2020,45,2,0,43,,,,40,5,0,0,,,,
15/3/2020,56,2,0,54,,,,48,8,0,0,,,,
16/3/2020,65,2,0,63,,464,529,56,9,0,0,,,,
17/3/2020,78,2,0,76,,496,574,67,11,0,0,,,20.00%,
18/3/2020,97,3,18,76,,562,659,80,16,0,1,,,15.29%,
19/3/2020,128,3,23,102,,705,833,100,22,0,6,,,10.92%,20.72%
20/3/2020,158,3,31,124,,872,1030,122,26,0,10,,,15.74%,17.54%
21/3/2020,225,4,27,194,,1028,1253,167,38,0,20,,,13.45%,21.55%
22/3/2020,266,4,51,211,,1271,1537,189,59,1,16,,,23.59%,19.60%
23/3/2020,301,4,52,245,,1453,1754,206,64,1,30,,,18.89%,19.75%
24/3/2020,385,6,63,316,,1453,1838,247,84,1,53,,,41.67%,27.35%
25/3/2020,502,8,72,422,22,1946,2448,250,102,1,149,,,13.77%,25.91%
26/3/2020,589,12,75,502,25,2258,2847,287,126,1,175,,,29.32%,26.35%
27/3/2020,690,17,80,593,33,2817,3507,386,167,1,136,,,13.18%,18.27%
28/3/2020,745,19,91,635,44,3215,3960,408,185,1,151,7,84,22.30%,16.07%
29/3/2020,820,20,228,572,53,3580,4400,442,207,1,170,9,219,12.50%,14.87%
30/3/2020,966,24,240,702,55,4065,5031,489,207,1,269,12,228,11.89%,18.11%
31/3/2020,1054,27,248,779,55,4597,5651,529,295,1,229,30,218,23.55%,18.27%
1/4/2020,1133,34,256,843,72,5144,6277,580,349,1,203,36,220,14.06%,16.68%
2/4/2020,1265,37,266,962,82,6120,7385,622,398,103,142,51,215,7.13%,12.70%
3/4/2020,1353,42,279,1032,86,7135,8488,656,444,113,140,64,215,11.97%,10.54%
4/4/2020,1451,44,280,1127,87,7888,9339,674,490,119,168,87,193,10.34%,10.39%
5/4/2020,1554,48,325,1181,94,9155,10709,695,536,148,175,107,218,7.15%,8.69%
6/4/2020,1628,54,338,1236,96,10150,11778,718,563,175,172,,,9.64%,8.36%
7/4/2020,1715,60,358,1297,98,11615,13330,738,588,205,184,,,4.77%,6.61%
8/4/2020,1795,67,365,1363,98,13039,14834,767,618,224,186,,,5.78%,5.84%
9/4/2020,1894,79,375,1440,107,14485,16379,785,641,261,207,,,5.18%,5.78%
10/4/2020,1975,83,440,1452,115,16052,18027,789,672,290,224,,,6.01%,5.54%
11/4/2020,2142,90,468,1584,83,17616,19758,816,712,304,310,,,4.68%,7.05%
12/4/2020,2208,95,515,1598,113,18985,21193,821,766,318,303,,,11.64%,6.52%
13/4/2020,2277,101,559,1617,116,20528,22805,830,790,354,303,,,4.09%,6.32%
14/4/2020,2443,108,596,1739,117,21931,24374,833,857,393,360,,,4.40%,6.52%
15/4/2020,2571,115,631,1825,121,23886,26457,840,903,425,403,477,154,7.97%,6.90%
16/4/2020,2669,122,666,1881,126,25981,28650,845,951,448,425,505,161,5.84%,6.71%
17/4/2020,2758,129,685,1944,127,28184,30942,851,997,474,436,533,152,4.28%,4.80%
18/4/2020,2839,132,709,1998,123,29873,32712,856,1184,496,303,,,5.03%,4.28%
19/4/2020,2941,136,737,2068,126,31627,34568,858,1235,538,310,577,160,4.36%,4.60%
20/4/2020,3031,145,840,2046,129,33580,36611,863,1293,576,299,,,4.99%,4.82%
21/4/2020,3144,152,872,2120,131,36084,39228,866,1346,618,314,711,161,3.44%,4.68%
22/4/2020,3288,159,919,2210,136,38498,41786,870,1408,669,341,767,152,4.42%,4.81%
23/4/2020,3435,167,976,2292,141,41219,44654,875,1490,722,348,796,180,5.02%,5.02%
24/4/2020,3607,179,1030,2398,144,43800,47407,887,1562,755,403,,,5.34%,5.66%
25/4/2020,3780,187,1107,2486,139,46125,49905,888,1641,797,454,,,6.89%,6.06%
26/4/2020,3892,192,1140,2560,151,48008,51900,900,1684,829,479,948,192,8.67%,6.31%
27/4/2020,4003,197,1162,2644,155,49597,53600,905,1725,897,476,905,257,6.59%,6.39%
28/4/2020,4127,207,1192,2728,154,51931,56058,909,1766,985,467,,,4.52%,5.64%
29/4/2020,4285,215,1256,2814,157,54400,58685,912,1835,1041,497,1111,145,4.72%,5.79%
30/4/2020,4428,220,1292,2916,155,57102,61530,915,1904,1149,460,,,5.55%,5.36%
1/5/2020,4532,229,1320,2983,154,59334,63866,916,1949,1224,443,1036,284,6.12%,5.19%
2/5/2020,4681,241,1354,3086,161,61132,65813,917,2012,1267,485,,,5.34%,5.56%
3/5/2020,4783,249,1442,3092,146,63137,67920,920,2076,1314,473,1119,323,7.07%,5.56%
4/5/2020,4887,260,1472,3155,148,63831,68718,925,2137,1377,448,1149,323,12.78%,7.32%
5/5/2020,5020,264,1524,3232,143,67295,72315,927,2207,1445,441,,,2.89%,5.21%
6/5/2020,5208,273,1601,3334,151,69990,75198,927,2292,1510,479,,,4.61%,5.84%
7/5/2020,5371,285,1659,3427,155,72530,77901,929,2372,1597,473,,,6.96%,5.27%
8/5/2020,5611,293,1728,3590,157,75118,80729,930,2468,1646,567,,,5.76%,7.02%
9/5/2020,5776,300,1757,3719,160,77242,83018,930,2530,1703,613,,,10.48%,7.26%
10/5/2020,6034,305,1837,3892,164,79124,85158,930,2668,1765,671,,,7.71%,9.14%
11/5/2020,6278,317,1862,4099,170,81269,87547,932,2802,1835,709,,,10.80%,9.78%
12/5/2020,6563,321,2266,3976,147,83911,90474,932,2974,1926,731,,,8.34%,10.56%
13/5/2020,6879,344,2385,4150,147,86794,93673,934,3109,2039,797,,,8.91%,9.92%
14/5/2020,7134,353,2497,4284,149,89759,96893,935,3226,2169,804,,,9.81%,9.16%
15/5/2020,7479,363,2534,4582,151,92883,100362,937,3367,2272,903,,,7.35%,9.26%
16/5/2020,7805,366,2569,4870,154,95415,103220,937,3482,2372,1014,2461,108,12.07%,9.70%
17/5/2020,8068,374,2625,5069,159,97761,105829,939,3561,2468,1100,,,12.50%,10.45%
18/5/2020,8371,384,2872,5115,156,100263,108634,939,3718,2607,1107,,,9.38%,10.78%
19/5/2020,8809,394,2933,5482,161,103561,112370,940,3879,2758,1232,,,8.11%,10.97%
20/5/2020,9283,404,3032,5847,171,107335,116618,945,4068,2919,1351,,,10.31%,11.26%
21/5/2020,9931,419,3062,6450,172,111347,121278,947,4334,3154,1496,,,10.17%,12.34%
22/5/2020,10649,439,3530,6680,173,115244,125893,948,4648,3314,1739,,,14.04%,13.61%
23/5/2020,11353,449,3732,7172,181,118065,129418,951,4955,3540,1907,,,20.37%,16.17%
24/5/2020,12076,456,3999,7621,181,121392,133468,955,5302,3766,2053,,,17.38%,17.60%
25/5/2020,12628,472,4167,7989,203,124034,136662,956,5563,4050,2059,,,22.64%,18.38%
26/5/2020,13228,492,4349,8387,250,126990,140218,959,5813,4354,2102,,,15.52%,17.36%
27/5/2020,13933,501,4617,8815,254,131148,145081,961,6091,4694,2187,,,12.34%,15.99%
